EP01 IN
EP01：あすトろ…　|　外星…
EP02：今　彼氏とかいるのかな　|　她现在有男朋友吗
EP02：ていうか　昨日の夜にしゃべってた男は誰なんだよ　|　话说昨晚和她说话的男人是谁
EP02：お前　何も知らないのか　|　你知道些什么吗
EP02：あいつが彼氏なのか　|　那家伙是她男朋友吗
EP02：彼氏じゃなかったらあの男は誰なんだ　|　不是的话 那他到底是谁
EP02：ミラさん　|　米拉小姐
EP02：ミラさん　|　米拉小姐
EP02：ミラさん　ミラさん　ミラさん　ミラさん　|　米拉小姐 米拉小姐 米拉小姐
EP02：何か捜し物ですか　|　你在找什么东西吗
EP02：ミラちゃん　このアパートに来てから　ずっと何かを捜してるみたいだから　|　好像米拉搬来这栋公寓后就一直在找什么东西
EP02：えっと…　|　那个…
EP02：ナオスケがどこかに何かを隠してしまったみたいで　|　直介好像把什么东西藏起来了
EP02：何かって　|　藏了什么
EP02：全然　大したものではないんです　|　不是什么重要的东西
EP02：何を読んでるんですか　|　您在看什么
EP02：太助さんの形見　|　太助先生的遗物
EP02：太助さんって？　|　太助先生是？
EP02：下高井戸太助　あすトろ荘の前の管理人　|　下高井户太助 外星庄的前任房东
EP02：SFとか宇宙が大好きな人でね　|　他对科幻和宇宙之类很感兴趣
EP02：いつも夜になると　ここに座って夜空を見上げていたなあ　|　每天晚上都会坐在这里仰望星空
EP02：太助さん　家族とか親族とか　全くいなくてね　|　太助先生没有成家 也没别的亲戚
EP02：自分が死んだあとのこと　全部自分で段取りつけてたんだよ　|　自己的后事 全都是自己计划好的
EP02：すごいよねえ　|　很厉害吧
EP02：長いおつきあいだったんですか　|　您和他认识很久了吗
EP02：長いも何も　半世紀以上大家さんと住人の関係さ　|　何止是久 他可是当了我半个多世纪的房东
EP02：そんなに長く　|　那么久啊
EP02：太助さんはこのあすトろ荘が建ったときから　ずっと大家さんだからね　|　太助先生从外星庄建成以来就一直是这的房东
EP02：あの宮坂拓己って人間には近づくな　|　别跟那个叫宫坂拓己的人走太近
EP02：あいつは変態だ　|　那人就是个变态
EP02：何だそれ　|　那是什么
EP02：前の大家さん　ミボー人だったんじゃない　|　上任房东会不会是米博人
EP02：もう一度　最初から全てを見直そう　|　再从头看一遍资料吧
EP02：これ　あすトろ荘の大家になったときに引き継いだ書類　|　这些就是我当上外星庄房东后得到的资料
EP02：鍵は遠い異国の星に隠したんでしょう　|　钥匙藏在了遥远的异星对吧
EP02：ミボー人の太助さんが　このアパートのどこかに鍵を隠した　|　米博人太助先生把钥匙藏在了这个公寓的某处
EP02：敵に知られないために　ミボー星との連絡を絶ち　|　为了瞒住敌人 他断绝了和米博星的联络
EP02：いつか我々の迎えが来ることを信じて　|　并坚信有朝一日我们会到这里来
EP02：なるほど　|　原来如此
EP02：「下高井戸太助　庭にて」　|　「下高井户太助 摄于庭院」
EP02：なんで死んじまったんだよ　|　怎么就死了啊
EP02：どうしました　|　怎么了
EP02：これ　どういうこと　|　这是怎么回事
EP02：宮坂くん　ひどいじゃないですか　|　宫坂君 太过分了吧
EP02：無職の人間は朝ご飯食べる資格がないってこと　|　无业游民就没有资格吃早餐吗
EP02：無職にだって　朝ご飯食べる権利はあるんだよ　|　就算没工作也有吃早餐的权利
EP02：ちゃんと用意しましたよ　|　我给你准备了
EP02：じゃ　なにかい　|　那这是怎么回事
EP02：無職に食べられたくないサケが逃げ出したっていうの　|　难道鲑鱼不想被无业游民吃掉 逃走了吗
EP02：んなわけないでしょう　|　怎么可能
EP02：じゃ　誰　|　那是谁干的
EP02：えっと…　|　我想想…
EP02：どうしたんですか　|　发生什么了
EP02：ナオスケですよ　|　是直介
EP02：ナオスケが若林さんの朝食を食べちゃったみたいなんです　|　好像是直介吃了若林先生的早餐
EP02：そうなの　ナオスケ　ダメじゃない　|　真的吗 直介 怎么能这样
EP02：本当にすみません　|　真的很抱歉
EP02：まあ　犬の仕業ならしかたあるまい　|　既然是狗吃的那就没办法了
EP02：ていうか　若林さんがいつまでも寝てるからですよ　|　话说回来 这也是因为若林先生起得太晚了
EP02：朝ご飯の時間に　ちゃんと起きてくれれば食べられますから　|　在早餐时间起床就能吃到了
EP02：仕事　探さないとな　|　得赶紧找份工作
EP02：いつまでも朝食作るだけのパートのままでいいわけないもんねえ　|　不可能一直只兼职做早餐嘛
EP02：あすトろ荘のとこに来た新しい料理人の人でしょう　|　你是外星庄新来的厨师吧
EP02：私ね　あすトろ荘の近くに住んでんの　|　我就住在外星庄附近
EP02：分からないことがあったら　何でも聞いて　|　不知道的事情都可以问我
EP02：この町　長いから　|　毕竟我在这里住很久了
EP02：今日はミラちゃん　一緒じゃないの　|　今天没跟米拉小姐一起吗
EP02：ほら　この間　一緒に買い物してたでしょう　|　之前看见你们一起来买东西了
EP02：なんだかいい感じで　とってもお似合いだと思っちゃった　|　感觉氛围很好 郎才女貌特别般配
EP02：そんな　|　哪有
EP02：でも　無職だもんね　|　不过你毕竟没有工作
EP02：私がミラちゃんの親だったら　断固反対しちゃうもの　|　我要是米拉的父母 肯定会反对的
EP02：早く仕事が決まるといいわねえ　|　希望你早点找到工作
EP02：もうお参り行った　|　去参拜过吗
EP02：あそこのお寺で開運祈願してきなさいよ　|　快去那里的寺庙拜拜 祈求开运
EP02：飴ちゃん　食べる　|　吃糖糖吗
EP02：今　東京のおばちゃんも飴ちゃんって言うんだって思った　|　你是不是在想怎么东京的大妈也说糖糖
EP02：かわいいから　飴ちゃんって単語を　今年から取り入れることにしたわけ　|　因为很可爱 所以决定今年开始用糖糖这个词
EP02：アップデートってやつ　|　词库更新了
EP02：いいから　いいから　遠慮しないでね　ねっ　|　没事的没事的 别客气
EP02：ばばあのどうでもいい話　ムダにエネルギー奪われるぜ　|　听大妈的废话白白浪费我的能量
EP02：せっかくだから　|　难得来了
EP02：招き猫のお寺か　|　招财猫的寺庙吗
EP02：招き猫に願かけして　願いがかなったら　ここに返納するのか　|　对招财猫许愿 愿望实现了的话 就在这里还愿吗
EP02：でかっ　|　好大
EP02：福利厚生がしっかりして　|　工作的福利待遇好
EP02：パワハラとかモラハラするような上司がいない　|　没有职权骚扰和精神暴力的上司
EP02：すぐマウント取ってくる同僚とか　|　没有天天显摆的同事
EP02：怪しいネットワークビジネスに誘ってくる人に遭遇しない　|　也没有拉我进奇怪传销的人
EP02：穏やかな就職先が見つかりますように　|　希望找到一个这样的稳定工作
EP02：あと　ミラさんの彼氏になれますよう…　|　还有 希望能成为米拉小姐的男朋友…
EP02：彼氏？　|　男朋友？
EP02：正気か　俺　|　我疯了吗
EP02：ミラさんのこと　まだ何も知らないじゃないか　|　我对米拉小姐不还是一无所知吗
EP02：まずはデートだろう　デート　|　首先得约会吧 约会
EP02：お互いを知らないとな　|　得先互相了解
EP02：ミラさんとデートできますように　|　希望能和米拉小姐约会
EP02：って　中学生じゃないんだぞ　|　我是哪来的初中生吗
EP02：やっぱ　もういい年なんで　|　都这么大年纪了
EP02：正直に言うと　ミラさんとそれなりに大人のスキンシップがしたいです　|　说实话 想和米拉小姐有成年人的肌肤之亲
EP02：めっちゃ長くない　|　是不是拜得太久了
EP02：１万ぐらい賽銭入れたんじゃね　|　可能投了一万日元香钱
EP02：まあ　とにかく　世界平和でよろしくお願いします　|　总之 希望世界和平
EP02：ただいま　|　我回来了
EP02：おかえり　|　欢迎回来
EP02：何だい　それ　|　那是什么
EP02：お掃除ロボットだよ　|　是扫地机器人
EP02：友達のハルトくん家にもあった　|　我朋友春人家也有
EP02：ハルトくん家は両親が働いてて　お金持ちで　|　春人的父母都在工作 家里很有钱
EP02：うちとは真逆なんだ　|　和我正相反
EP02：このあすトろ荘にも　ついにロボットが導入されたか　|　我们外星庄终于也引进机器人了
EP02：長生きしてみるもんだな　|　活得久 见得多啊
EP02：俺が死んだ魚を盗み食いしたなんて　冤罪にも程がある　|　居然说我偷吃一条死鱼 冤枉人也要有个度
EP02：絶対に真犯人を捕まえてやるからな　|　我绝对会把真正的犯人给抓住
EP02：この木の前だ　|　是这棵树的前面
EP02：どうかしました　|　怎么了吗
EP02：誰ですか　それ　|　照片上的人是谁
